RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31
394647,481,"Greeneville, TN",msa,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500.0,13316.666666666666,13316.666666666666,12666.666666666666,12666.666666666666,12699.666666666666,11699.666666666666,10033.0,11233.333333333334
394877,482,"Morehead City, NC",msa,NC,8916.666666666666,8833.333333333334,8833.333333333334,9916.666666666666,10000.0,10000.0,11183.333333333334,11183.333333333334,11183.333333333334,8333.333333333334,7775.0,7225.0,8891.666666666666,9450.0,10000.0,10166.666666666666,10166.666666666666,10166.666666666666,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9566.666666666666,9566.666666666666,9566.666666666666,10000.0,10000.0,10000.0,11333.333333333334,11333.333333333334,11333.333333333334,10000.0,10333.333333333334,13650.0,16483.333333333332,18150.0,,17666.666666666668,17333.333333333332,15666.666666666666,14933.333333333334,14933.5,13266.833333333334,14200.166666666666,15200.0,18200.0,18516.666666666668,19350.0,21183.333333333332,21666.666666666668,21500.0,20000.0,18333.333333333332,16666.666666666668,14000.0
394885,483,"Mount Pleasant, MI",msa,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8950.0,8283.333333333334,8333.333333333334,8750.0,9083.333333333334,7700.0,6700.0,5700.0,5683.333333333333,5350.0,5016.666666666667,6666.666666666667,7666.666666666667,8000.0,7966.666666666667,8633.333333333334,8450.0,8483.333333333334,8150.0,8333.333333333334,8333.333333333334
394752,484,"Klamath Falls, OR",msa,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11500.0,10000.0,10166.666666666666,10850.0,12516.666666666666,12350.0,13333.333333333334,11666.666666666666,13166.666666666666,11500.0
395092,486,"Shelton, WA",msa,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19598.5,16966.833333333332,20316.666666666668,16558.333333333332,18225.0,18208.333333333332,17000.0,17500.0,15833.333333333334,15808.333333333334
394897,489,"Muskogee, OK",msa,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7266.666666666667,7516.666666666667,7633.333333333333,6863.333333333333,7946.666666666667,9146.666666666666,9916.666666666666,10000.0,10000.0,10000.0
394586,490,"Faribault, MN",msa,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,10583.333333333334,10600.0,10600.0,11683.333333333334,13000.0,13166.666666666666,11500.0
394600,491,"Forest City, NC",msa,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,11633.333333333334,13966.666666666666,15633.333333333334,14033.333333333334,11700.0,11700.0,13333.333333333334,13333.333333333334
394587,492,"Farmington, MO",msa,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6666.666666666667,8316.666666666666,9966.666666666666,10000.0,10000.0,9000.0,9000.0,9000.0,10000.0,9850.0
394829,493,"Marquette, MI",msa,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13800.0,10466.666666666666,10000.0,10000.0,10000.0,10000.0,8666.666666666666
395021,494,"Richmond, IN",msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6666.666666666667,5666.666666666667,5666.666666666667,5666.666666666667,5729.5,6312.833333333333,7979.5,8616.666666666666,9700.0
395105,495,"Somerset, KY",msa,KY,8933.333333333334,8900.0,8500.0,8466.666666666666,8233.333333333334,7000.0,5666.666666666667,5366.666666666667,5966.666666666667,6000.0,7300.0,7000.0,7133.333333333333,6500.0,7533.333333333333,7900.0,8533.333333333334,8733.333333333334,9566.666666666666,8866.666666666666,7700.0,6066.666666666667,5466.666666666667,5233.333333333333,6833.333333333333,7300.0,7950.0,7983.333333333333,8850.0,9700.0,8066.666666666667,8366.666666666666,8300.0,9016.666666666666,9016.666666666666,7450.0,7333.333333333333,7333.333333333333,8966.666666666666,10000.0,10000.0,10000.0,9966.666666666666,9966.666666666666,8966.666666666666,7433.333333333333,5766.666666666667,6766.666666666667,8333.333333333334,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
394826,497,"Marion, IN",msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5116.666666666667,5083.333333333333,4750.0,5000.0,5033.333333333333,5333.333333333333,5366.666666666667,5350.0,5716.666666666667,5683.333333333333
394496,500,"Coos Bay, OR",msa,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19666.666666666668,17666.666666666668,17833.333333333332,18500.0,18833.333333333332,17333.333333333332,18000.0,16166.666666666666,15833.333333333334,13916.666666666666
395016,502,"Red Bluff, CA",msa,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,11666.666666666666,13666.666666666666,15000.0,15516.833333333334,15683.666666666666,15017.0,12516.833333333334,11183.333333333334,10683.333333333334,12683.333333333334,13350.0,14516.666666666666,15833.333333333334,17666.666666666668,17666.666666666668,16333.333333333334,13666.666666666666,14000.0,12916.666666666666
394472,503,"Clearlake, CA",msa,CA,9666.666666666666,10000.0,10333.333333333334,10333.333333333334,10333.333333333334,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10366.666666666666,10366.666666666666,10366.666666666666,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,13000.0,13000.0,,,10000.0,10000.0,10033.333333333334,10033.333333333334,10366.666666666666,10333.333333333334,10333.333333333334,13083.333333333334,14916.666666666666,18250.0,17833.333333333332,17683.333333333332,16016.666666666666,13350.0,13325.0,13141.666666666666,13141.666666666666,12150.0,12333.333333333334,12333.333333333334,14333.666666666666,16000.333333333334,19333.666666666668,18000.0,17666.666666666668,16233.333333333334,17933.333333333332,16600.0,14783.333333333334
394787,507,"Lewiston, ID",msa,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17416.666666666668,18250.0,17416.666666666668,16000.0,15000.0,14983.333333333334,16316.666666666666,14983.333333333334,13333.333333333334
394629,509,"Georgetown, SC",msa,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16333.333333333334,18000.0,16350.0,18100.0,19466.666666666668,21116.666666666668,17733.333333333332,14700.0,11366.666666666666,11666.666666666666,12500.0,13800.0,15300.0,14800.0,15183.333333333334,16500.0,14833.333333333334,14816.666666666666,14500.0,16516.666666666668
394309,510,"Albemarle, NC",msa,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12333.333333333334,14833.333333333334,13200.0,12533.333333333334,10033.333333333334,10000.0,10000.0,10000.0,10000.0
394836,513,"Martinsville, VA",msa,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8633.333333333334,9967.0,10000.333333333334,9842.0,8691.666666666666,7108.333333333333,5933.333333333333,6783.333333333333
394509,517,"Crossville, TN",msa,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9066.666666666666,10400.0,10400.0,10300.0,13603.333333333334,14936.666666666666,16086.666666666666,12783.333333333334,11283.333333333334,9833.333333333334,10750.0,10916.666666666666,10916.666666666666,10000.0,10033.333333333334,10066.666666666666,11733.333333333334,11733.333333333334,11700.0,10033.333333333334,10000.0,10000.0
395199,519,"Walla Walla, WA",msa,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24166.666666666668,20500.0,19166.666666666668,19000.0,20833.333333333332,20166.666666666668,18500.0,16833.333333333332
